n,Site,Vial Name,Cham,Sample,Window,Collection Date,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,RNA_conc,Isolation Date,CT_18s,CT_40,CT_70,CT_83,CDNA,dilution factor,vol cDNA for dilution,vol of water for dilution
85,DF,DF 15B-C,15,2,C,20130910,30.6,30.1,31.2,30.4,41.6,20150727,13.412,29.185,23.702,25.73,2.5,10,5,45
11,DF,DF A4-C,4,2,D,20130702,24,24.2,23.8,23.8,5.52,20150804,13.648,,,30.381,2.5,10,5,45
189,HF,HF 10-1,10,1,,20130626,24.8,25.2,25.4,25.8,5.13,20150807,13.816,,,29.325,2.5,10,5,45
21,DF,DF A7-C,7,3,C,20130702,24.4,24.6,24.6,24.6,19.5,20150730,13.924,31.323,27.615,29.4,2.5,10,5,45
68,DF,DF A9-B,9,2,B,20130910,27.2,28.2,27.2,27.8,71,20150727,13.946,28.98,22.868,25.418,2.5,10,5,45
27,DF,DF A9-A,9,3,B,20130702,24.6,24.6,24.2,24.6,34.1,20150731,14.085,,,28.682,2.5,10,5,45
33,DF,DF A11-C,11,3,C,20130702,23.4,23.4,23.4,23.2,32.2,20150804,14.301,,,33.417,2.5,10,5,45
49,DF,DF A2-A,2,1,B,20130910,24.8,25.8,25.2,25.2,43.2,20150729,14.492,29.715,24.591,27.064,2.5,10,5,45
37,DF,DF A13-C,13,1,C,20130702,23.2,23.6,23.4,23.2,22.2,20150730,14.6,29.869,25.205,27.832,2.5,10,5,45
79,DF,DF 13-B,13,2,B,20130910,28.2,28.8,28.6,29.6,46.2,20150727,14.746,29.261,23.873,25.583,2.5,10,5,45
15,DF,DF A5-B,5,3,E,20130702,23.4,23.4,23.2,23.6,11.7,20150730,15.376,30.446,27.758,31.27,2.5,10,5,45
40,DF,DF A14-A,14,1,A,20130702,24,24,23.8,23.8,37.2,20150804,15.516,,,33.517,2.5,10,5,45
169,HF,HF 2-2,2,2,,20130626,23.6,24.4,24.2,24.8,6.21,20150810,15.519,,,29.932,2.5,10,5,45
173,HF,HF 3-3,3,3,,20130626,25.8,26.4,26.2,26.4,89,20150805,15.764,,,35.812,2.5,10,5,45
172,HF,HF 3-2,3,2,,20130626,26.2,25.8,26.8,26.6,20.3,20150810,15.801,,,34.272,2.5,10,5,45
178,HF,HF 5-3,5,3,,20130626,25.6,25.8,25.8,25.4,8.74,20150810,16.137,,,31.331,2.5,10,5,45
31,DF,DF A11-B,11,1,B,20130702,23.4,23.4,23.6,23.4,16.5,20150731,16.207,,,30.095,2.5,10,5,45
44,DF,DF A15-A,15,2,A,20130702,23.4,23.8,23.4,24.6,49.3,20150731,16.59,,,30.618,2.5,10,5,45
43,DF,DF A15-B,15,1,B,20130702,23.8,23.8,23.8,23.6,46,20150730,16.657,,28.693,31.728,2.5,10,5,45
185,HF,HF 8-3,8,3,,20130626,27.4,26.8,26.2,26.8,4.92,20150805,16.858,,,32.908,2.46,9.84,5.081300813,44.91869919
13,DF,DF A5-A,5,1,C,20130702,24.2,24,23.8,24,12.8,20150731,16.992,,,34.905,2.5,10,5,45
39,DF,DF A13-A,13,3,A,20130702,23.2,23.2,23.4,23.4,26.7,20150804,17.254,,,31.693,2.5,10,5,45
174,HF,HF 4-1,4,1,,20130626,29.4,29.2,28.8,27.6,23.5,20150807,17.584,,,37.729,2.5,10,5,45
9,DF,DF A3-C,3,3,C,20130702,22.8,22.8,22.8,22.4,45.2,20150804,17.836,,,31.83,2.5,10,5,45
183,HF,HF 8-1,8,1,,20130626,26.8,27.2,27.2,28,10.9,20150810,17.975,,,33.325,2.5,10,5,45
80,DF,DF 13-D,13,3,D,20130910,29.4,29.8,30,29.8,47,20150729,17.998,30.282,25.588,26.795,2.5,10,5,45
